EffDate,CashAmount,DeclarationDate
10-Feb-2023,0.23,2-Feb-2023
4-Nov-2022,0.23,27-Oct-2022
5-Aug-2022,0.23,28-Jul-2022
6-May-2022,0.23,28-Apr-2022
4-Feb-2022,0.22,27-Jan-2022
5-Nov-2021,0.22,28-Oct-2021
6-Aug-2021,0.22,27-Jul-2021
7-May-2021,0.22,28-Apr-2021
5-Feb-2021,0.21,27-Jan-2021
6-Nov-2020,0.21,29-Oct-2020
7-Aug-2020,0.82,30-Jul-2020
8-May-2020,0.82,30-Apr-2020
7-Feb-2020,0.77,28-Jan-2020
7-Nov-2019,0.77,30-Oct-2019
9-Aug-2019,0.77,30-Jul-2019
10-May-2019,0.77,30-Apr-2019
8-Feb-2019,0.73,29-Jan-2019
8-Nov-2018,0.73,1-Nov-2018
10-Aug-2018,0.73,31-Jul-2018
11-May-2018,0.73,1-May-2018
9-Feb-2018,0.63,1-Feb-2018
10-Nov-2017,0.63,2-Nov-2017
10-Aug-2017,0.63,1-Aug-2017
11-May-2017,0.63,2-May-2017
9-Feb-2017,0.57,31-Jan-2017
3-Nov-2016,0.57,25-Oct-2016
4-Aug-2016,0.57,26-Jul-2016
5-May-2016,0.57,26-Apr-2016
4-Feb-2016,0.52,26-Jan-2016
5-Nov-2015,0.52,27-Oct-2015
6-Aug-2015,0.52,21-Jul-2015
7-May-2015,0.52,27-Apr-2015
5-Feb-2015,0.47,27-Jan-2015
6-Nov-2014,0.47,20-Oct-2014
7-Aug-2014,0.47,22-Jul-2014
